title;link
The High Lord (Black Magician Trilogy, #3);www.goodreads.com/book/show/28251.The_High_Lord
The Naming (The Books of Pellinor, #1);www.goodreads.com/book/show/393146.The_Naming
Kushiel's Avatar (Phèdre's Trilogy, #3);www.goodreads.com/book/show/40223.Kushiel_s_Avatar
Kushiel's Chosen (Phèdre's Trilogy, #2);www.goodreads.com/book/show/395962.Kushiel_s_Chosen
At Grave's End (Night Huntress, #3);www.goodreads.com/book/show/3570231-at-grave-s-end
Son of the Shadows (Sevenwaters, #2);www.goodreads.com/book/show/13927.Son_of_the_Shadows
By the Sword (Valdemar, #9);www.goodreads.com/book/show/28735.By_the_Sword
The Assassin's Blade (Throne of Glass, #0.1-0.5);www.goodreads.com/book/show/18243700-the-assassin-s-blade
Wolf-Speaker (Immortals, #2);www.goodreads.com/book/show/24094.Wolf_Speaker
Emperor Mage (Immortals, #3);www.goodreads.com/book/show/13833.Emperor_Mage
"Witches Abroad (Discworld, #12; Witches, #3)";www.goodreads.com/book/show/2442.Witches_Abroad
The Girl of Fire and Thorns (Fire and Thorns, #1);www.goodreads.com/book/show/10429092-the-girl-of-fire-and-thorns
Deerskin;www.goodreads.com/book/show/8087.Deerskin
Uprooted;www.goodreads.com/book/show/22544764-uprooted
Ship of Magic (Liveship Traders, #1);www.goodreads.com/book/show/45100.Ship_of_Magic
Hunting Ground (Alpha & Omega, #2);www.goodreads.com/book/show/5292853-hunting-ground
Talking to Dragons (Enchanted Forest Chronicles, #4);www.goodreads.com/book/show/169871.Talking_to_Dragons
Touch of Power (Healer, #1);www.goodreads.com/book/show/10445208-touch-of-power
Beauty: A Retelling of the Story of Beauty and the Beast;www.goodreads.com/book/show/41424.Beauty
The Cruel Prince (The Folk of the Air, #1);www.goodreads.com/book/show/26032825-the-cruel-prince
River Marked (Mercy Thompson, #6);www.goodreads.com/book/show/8087906-river-marked
One Foot in the Grave (Night Huntress, #2);www.goodreads.com/book/show/2168860.One_Foot_in_the_Grave
Cinder (The Lunar Chronicles, #1);www.goodreads.com/book/show/36381037-cinder
The Hero of Ages (Mistborn, #3);www.goodreads.com/book/show/2767793-the-hero-of-ages
The Tombs of Atuan (Earthsea Cycle, #2);www.goodreads.com/book/show/13662.The_Tombs_of_Atuan
Obsidian Butterfly (Anita Blake, Vampire Hunter, #9);www.goodreads.com/book/show/190361.Obsidian_Butterfly
Arrows of the Queen (Heralds of Valdemar, #1);www.goodreads.com/book/show/13986.Arrows_of_the_Queen
Magic Slays (Kate Daniels, #5);www.goodreads.com/book/show/8559047-magic-slays
Book of a Thousand Days;www.goodreads.com/book/show/248484.Book_of_a_Thousand_Days
Fire Study (Study, #3);www.goodreads.com/book/show/1966969.Fire_Study
The Book of Mormon: Another Testament of Jesus Christ;www.goodreads.com/book/show/323355.The_Book_of_Mormon
